Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb , 30 , 9999 , 8.190 , 2.584 , 18 , 18
4Kb , 30 , 9999 , 8.152 , 2.596 , 0 , 0
4Kb , 30 , 9999 , 8.419 , 2.595 , 0 , 0
4Kb , 30 , 9999 , 8.262 , 2.589 , 0 , 0
4Kb , 30 , 9999 , 8.192 , 2.603 , 0 , 0
1Mb , 30 , 9999 , 1877.738 , 1930.957 , 0 , 0
1Mb , 30 , 9999 , 1892.383 , 1925.273 , 0 , 0
1Mb , 30 , 9999 , 1848.502 , 1895.604 , 0 , 0
1Mb , 30 , 9999 , 1876.073 , 1922.015 , 0 , 0
1Mb , 30 , 9999 , 1858.174 , 1895.402 , 0 , 0
4Mb , 30 , 9999 , 2843.795 , 4675.486 , 0 , 0
4Mb , 30 , 9999 , 2847.778 , 4578.568 , 0 , 0
4Mb , 30 , 9999 , 2831.739 , 4616.354 , 0 , 0
4Mb , 30 , 9999 , 2840.112 , 4638.389 , 0 , 0
4Mb , 30 , 9999 , 2853.671 , 4668.226 , 0 , 0
64Mb , 30 , 9999 , 2962.810 , 6390.045 , 0 , 0
64Mb , 30 , 9999 , 3003.468 , 6435.590 , 0 , 0
64Mb , 30 , 9999 , 2943.306 , 4954.657 , 0 , 0
64Mb , 30 , 9999 , 2917.964 , 6421.225 , 0 , 0
64Mb , 30 , 9999 , 2931.477 , 4827.071 , 0 , 0
128Mb , 30 , 5000 , 2928.023 , 6417.851 , 0 , 0
128Mb , 30 , 5000 , 2935.423 , 5191.232 , 0 , 0
128Mb , 30 , 5000 , 2961.480 , 6347.095 , 0 , 0
128Mb , 30 , 5000 , 2953.482 , 5140.967 , 0 , 0
128Mb , 30 , 5000 , 2935.129 , 5077.081 , 0 , 0
