Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb , 30 , 9999 , 8.170 , 2.539 , 18 , 18
4Kb , 30 , 9999 , 7.876 , 2.548 , 0 , 0
4Kb , 30 , 9999 , 8.062 , 2.557 , 0 , 0
4Kb , 30 , 9999 , 8.117 , 2.561 , 0 , 0
4Kb , 30 , 9999 , 8.081 , 2.557 , 0 , 0
1Mb , 30 , 9999 , 1840.422 , 1714.402 , 0 , 0
1Mb , 30 , 9999 , 1832.119 , 1705.617 , 0 , 0
1Mb , 30 , 9999 , 1825.635 , 1704.842 , 0 , 0
1Mb , 30 , 9999 , 1808.645 , 1684.013 , 0 , 0
1Mb , 30 , 9999 , 1823.671 , 1687.778 , 0 , 0
4Mb , 30 , 9999 , 2833.049 , 4090.021 , 0 , 0
4Mb , 30 , 9999 , 2871.511 , 4019.253 , 0 , 0
4Mb , 30 , 9999 , 2844.979 , 4047.500 , 0 , 0
4Mb , 30 , 9999 , 2801.697 , 4028.310 , 0 , 0
4Mb , 30 , 9999 , 2780.821 , 4044.185 , 0 , 0
64Mb , 30 , 9999 , 2933.538 , 6253.390 , 0 , 0
64Mb , 30 , 9999 , 3018.674 , 6203.534 , 0 , 0
64Mb , 30 , 9999 , 2927.044 , 6037.103 , 0 , 0
64Mb , 30 , 9999 , 2944.721 , 5365.177 , 0 , 0
64Mb , 30 , 9999 , 2893.177 , 6174.540 , 0 , 0
128Mb , 30 , 5000 , 2941.047 , 6283.703 , 0 , 0
128Mb , 30 , 5000 , 2892.582 , 6256.102 , 0 , 0
128Mb , 30 , 5000 , 2915.771 , 6196.526 , 0 , 0
128Mb , 30 , 5000 , 2901.570 , 6282.778 , 0 , 0
128Mb , 30 , 5000 , 2963.057 , 6248.193 , 0 , 0
